,FCR,Length,method,Thresholding_type
255,0.06440677966101693,1.2024213191004436,SCOP,T-cal
256,0.003401360544217691,4.731626252303649,OCP,T-cal
257,0.0,10.921002929113227,ACP,T-cal
258,0.10622710622710618,4.406112271324433,SCOP,T-pos
259,0.08743455497382202,4.731626252303649,OCP,T-pos
260,0.0842931937172775,4.792944108744238,ACP,T-pos
261,0.10482529118136441,1.1599550313108247,SCOP,T-test
262,0.026666666666666616,4.672339979292355,OCP,T-test
263,0.015000000000000013,8.503733748385931,ACP,T-test
264,0.1062124248496994,1.169148028388453,SCOP,T-cal
265,0.01807228915662651,4.672339979292355,OCP,T-cal
266,0.012048192771084376,9.199682065618438,ACP,T-cal
267,0.10585305105853049,1.1509681961912397,SCOP,T-pos
268,0.027431421446383997,4.672339979292355,OCP,T-pos
269,0.013715710723191998,7.499706370690822,ACP,T-pos
270,0.11480865224625625,0.9728197142173611,SCOP,T-test
271,0.021666666666666612,4.445818058633043,OCP,T-test
272,0.011666666666666714,7.9531551506449905,ACP,T-test
273,0.06172839506172845,0.6084034815222649,SCOP,T-cal
274,0.012499999999999956,4.445818058633043,OCP,T-cal
275,0.012499999999999956,13.078777127464027,ACP,T-cal
276,0.11447811447811451,0.5228354238056915,SCOP,T-pos
277,0.030405405405405372,4.445818058633043,OCP,T-pos
278,0.006756756756756799,10.930728909031455,ACP,T-pos
279,0.08652246256239604,0.7766759098662263,SCOP,T-test
280,0.02833333333333332,4.65130324091763,OCP,T-test
281,0.020000000000000018,7.607160231061376,ACP,T-test
282,0.10497237569060769,0.9110044928619551,SCOP,T-cal
283,0.022222222222222254,4.65130324091763,OCP,T-cal
284,0.01666666666666672,12.101784195316585,ACP,T-cal
285,0.08366533864541836,0.7563705832716061,SCOP,T-pos
286,0.02594810379241519,4.65130324091763,OCP,T-pos
287,0.015968063872255467,8.459944892036306,ACP,T-pos
288,0.10482529118136441,0.8595097144955565,SCOP,T-test
289,0.02833333333333332,4.403047382643803,OCP,T-test
290,0.015000000000000013,8.011833585383588,ACP,T-test
291,0.09999999999999998,0.9754491941074726,SCOP,T-cal
292,0.008032128514056214,4.403047382643803,OCP,T-cal
293,0.004016064257028162,11.093822895255792,ACP,T-cal
294,0.12065698041692985,2.9914864846661917,SCOP,T-pos
295,0.05689001264222504,4.403047382643803,OCP,T-pos
296,0.050568900126422234,4.928034747833754,ACP,T-pos
297,0.13643926788685523,0.8442001757958444,SCOP,T-test
298,0.030000000000000027,4.518265277643774,OCP,T-test
299,0.021666666666666612,8.241782048664692,ACP,T-test
300,0.08695652173913049,0.8133749567523795,SCOP,T-cal
301,0.014705882352941124,4.518265277643774,OCP,T-cal
302,0.0,13.926548397574146,ACP,T-cal
303,0.10456553755522824,2.133674043148353,SCOP,T-pos
304,0.03905674281503313,4.518265277643774,OCP,T-pos
305,0.029476787030213725,5.344146105951236,ACP,T-pos
306,0.11480865224625625,1.9142564821955106,SCOP,T-test
307,0.04166666666666663,4.38539406540457,OCP,T-test
308,0.015000000000000013,7.974167457094352,ACP,T-test
309,0.11631663974151862,1.9189689398989607,SCOP,T-cal
310,0.04045307443365698,4.38539406540457,OCP,T-cal
311,0.014563106796116498,7.814175679649056,ACP,T-cal
312,0.11712511091393074,1.8799564981346741,SCOP,T-pos
313,0.047957371225577305,4.38539406540457,OCP,T-pos
314,0.03285968028419184,5.6297443924666855,ACP,T-pos
315,0.07321131447587359,0.8170115561305822,SCOP,T-test
316,0.018333333333333313,4.527105266352273,OCP,T-test
317,0.010000000000000009,8.201990922193337,ACP,T-test
318,0.09333333333333338,0.5202953152854147,SCOP,T-cal
319,0.01342281879194629,4.527105266352273,OCP,T-cal
320,0.0,13.106534622532438,ACP,T-cal
321,0.08833922261484095,2.450657661975063,SCOP,T-pos
322,0.034653465346534684,4.527105266352273,OCP,T-pos
323,0.026166902404526127,5.320038841219523,ACP,T-pos
